City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Tucuman,AR,-26.8241,-65.2226,74.7,73,93,4.94,overcast clouds
266,Synya,RU,65.3718,58.0387,1.71,98,100,4.56,overcast clouds
267,Lorengau,PG,-2.0226,147.2712,78.35,88,100,12.71,overcast clouds
268,San Andres,CO,12.5847,-81.7006,78.82,78,75,9.22,broken clouds
269,Cabedelo,BR,-6.9811,-34.8339,80.24,76,15,9.75,few clouds
270,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,28,58,29.93,broken clouds
271,Huarmey,PE,-10.0681,-78.1522,71.92,80,84,8.61,broken clouds
272,Bairiki,KI,1.3292,172.9752,82.22,74,83,18.12,broken clouds
273,Sehithwa,BW,-20.4667,22.7167,68.14,92,91,5.68,overcast clouds
274,Bambanglipuro,ID,-7.95,110.2833,63.61,84,100,3.11,overcast clouds
275,Cedar City,US,37.6775,-113.0619,50.97,21,0,9.22,clear sky
276,Faanui,PF,-16.4833,-151.75,81.05,72,6,21.18,light rain
277,Beringovskiy,RU,63.05,179.3167,6.24,82,96,17.58,light snow
278,Camacupa,AO,-12.0167,17.4833,60.28,86,100,2.68,overcast clouds
279,Rocha,UY,-34.4833,-54.3333,60.15,63,6,6.4,clear sky
280,Olafsvik,IS,64.8945,-23.7142,25.84,80,87,23.2,overcast clouds
281,Tecoanapa,MX,16.5167,-98.75,80.91,63,0,10.83,clear sky
282,Izhma,RU,65.0083,53.9113,-0.65,98,100,4.38,overcast clouds
283,Lamu,KE,-2.2717,40.902,79.02,86,72,8.05,broken clouds
284,Kailua,US,21.4022,-157.7394,80.58,67,0,10.36,clear sky
285,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,9.22,scattered clouds
286,Mangan,IN,27.5167,88.5333,46.89,94,100,2.13,overcast clouds
287,Pula,HR,44.8683,13.8481,45.46,93,0,6.91,clear sky
288,Noumea,NC,-22.2763,166.4572,78.78,73,91,7.34,overcast clouds
289,Dong Xoai,VN,11.5333,106.9167,73.09,85,39,2.62,scattered clouds
290,Paamiut,GL,61.994,-49.6678,20.88,79,100,16.35,light snow
291,Abu Samrah,SY,35.3029,37.1841,41.41,87,40,1.72,scattered clouds
292,Port Augusta,AU,-32.5,137.7667,73.71,68,100,19.98,overcast clouds
293,Wawa,NG,9.9022,4.4192,74.03,20,92,7.0,overcast clouds
294,Puerto Carreno,CO,6.189,-67.4859,86.99,33,65,6.38,broken clouds
295,Saint George,US,37.1041,-113.5841,61.32,17,0,1.99,clear sky
296,Jorpeland,NO,59.0225,6.0408,33.78,81,96,7.56,light snow
297,Tsybli,UA,49.9948,31.5628,32.13,89,53,13.44,broken clouds
298,Necochea,AR,-38.5473,-58.7368,61.03,53,44,7.81,scattered clouds
299,Saldanha,ZA,-33.0117,17.9442,68.99,77,16,6.76,few clouds
300,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,74,100,13.42,light shower snow
301,Hualmay,PE,-11.0964,-77.6139,71.37,81,71,8.59,broken clouds
302,Chara,RU,56.9064,118.2631,-22.56,90,78,1.07,broken clouds
303,Ostersund,SE,63.1792,14.6357,10.62,92,100,6.91,overcast clouds
304,Zhangjiakou,CN,40.81,114.8794,6.08,62,3,4.61,light snow
305,Constitucion,CL,-35.3333,-72.4167,60.04,71,0,10.54,clear sky
306,Mikkeli,FI,61.6886,27.2723,17.71,86,100,4.61,overcast clouds
307,Batsfjord,NO,70.6345,29.7185,17.22,82,59,6.53,broken clouds
308,Walvis Bay,NA,-22.9575,14.5053,70.09,83,100,8.01,overcast clouds
309,Geraldton,AU,-28.7667,114.6,72.12,56,3,20.71,clear sky
310,Yicheng,CN,31.3705,119.8703,38.03,53,95,8.72,overcast clouds
311,Coquimbo,CL,-29.9533,-71.3436,64.65,79,59,6.33,broken clouds
312,Altus,US,34.6381,-99.334,67.51,35,0,9.22,clear sky
313,Kutum,SD,14.2,24.6667,49.48,26,0,8.16,clear sky
314,Borda Da Mata,BR,-22.2742,-46.1653,70.32,98,100,2.13,overcast clouds
315,Murgab,TM,37.4966,61.9714,44.44,50,5,7.72,clear sky
316,Sangar,RU,63.9242,127.4739,-37.53,100,100,0.92,overcast clouds
317,Lebu,CL,-37.6167,-73.65,58.14,74,2,17.34,clear sky
318,Nioro,GM,13.35,-15.75,80.83,23,100,1.86,overcast clouds
319,Garwolin,PL,51.8975,21.6147,30.67,87,79,3.0,broken clouds
320,Betul,IN,21.9153,77.8961,56.52,31,5,2.71,clear sky
321,Kilinochchi,LK,9.3961,80.3982,73.26,81,29,6.49,scattered clouds
322,Villamontes,BO,-21.25,-63.5,79.63,53,99,4.65,overcast clouds
323,Nador,MA,35.174,-2.9287,66.45,32,0,10.36,clear sky
324,Namibe,AO,-15.1961,12.1522,71.78,72,99,8.68,overcast clouds
325,Phan Thiet,VN,10.9333,108.1,73.53,85,4,8.19,clear sky
326,Aban,RU,56.67,96.06,-15.18,100,77,3.13,broken clouds
327,Pennagaram,IN,12.1333,77.9,66.38,95,22,2.95,few clouds
328,Exeter,GB,50.7236,-3.5275,49.12,88,40,1.99,scattered clouds
329,Muros,ES,42.7762,-9.0603,51.1,75,6,14.52,clear sky
330,Cairns,AU,-16.9167,145.7667,90.1,72,40,6.91,scattered clouds
331,Opuwo,NA,-18.0607,13.84,62.46,63,100,7.0,overcast clouds
332,Rafaela,AR,-31.2503,-61.4867,77.99,47,1,1.99,clear sky
333,Deputatskiy,RU,69.3,139.9,-26.21,100,59,3.83,broken clouds
334,Rawson,AR,-43.3002,-65.1023,75.07,22,31,14.47,scattered clouds
335,Lagunas,PE,-5.2269,-75.6753,74.3,89,77,3.44,broken clouds
